Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IBIT,iShares Bitcoin Trust ETF,Currency,"$63,902,900,000",-11.28%,"64,061,240",$44.05,-1.56%,No,False,3.09%,10.76%,-17.20%,N/A,N/A,"$2,697,301,226.08","$621,747,266.40","$1,547,143,758.60","$24,899,807,874.32","$64,889,056,258.16","$64,889,056,258.16",Currency,2024-01-05,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.52,1,100.00%,40%,40%,1099,$36.38,$45.30,$43.58,$44.57,57.64,A+,N/A,N/A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FBTC,Fidelity Wise Origin Bitcoin Fund,Currency,"$14,849,000,000",-11.23%,"6,195,338",$67.67,-1.48%,No,False,3.11%,10.72%,-17.13%,N/A,N/A,"-$1,179,805,788.06","$120,782,628.95","-$17,814,413.96","-$621,183,587.39","$11,135,533,949.94","$11,135,533,949.94",Currency,2024-01-10,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.51,1,100.00%,40%,40%,1099,$55.90,$69.58,$66.95,$68.46,57.71,A,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GBTC,Grayscale Bitcoin Trust ETF,Currency,"$11,970,600,000",-11.53%,"4,260,491",$60.48,-1.45%,No,False,3.14%,10.67%,-18.09%,58.46%,7.92%,"-$995,456,000.00","-$43,001,800.00","-$195,925,300.00","-$3,500,574,100.00","-$26,085,747,100.00","-$26,085,747,100.00",Currency,2024-01-11,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.24,1,100.00%,40%,40%,1099,$49.98,$62.15,$59.83,$61.18,57.66,A-,N/A,A+,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETHA,iShares Ethereum Trust ETF,Currency,"$7,638,650,000",-22.02%,"41,799,320",$17.49,-3.53%,No,False,-1.85%,8.63%,29.08%,N/A,N/A,"-$682,856,925.80","$137,353,171.80","$68,612,351.64","$7,856,582,849.44","$11,906,654,785.68","$11,906,654,785.68",Currency,2024-06-24,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.59,1,100.00%,40%,40%,1099,$14.76,$18.71,$17.25,$17.72,52.64,A,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BTC,Grayscale Bitcoin Mini Trust ETF,Currency,"$4,175,630,000",-11.18%,"4,591,400",$34.40,-1.43%,No,False,3.12%,10.79%,-16.99%,N/A,N/A,"$309,229,100.00","$45,782,500.00","$71,133,200.00","$1,038,513,900.00","$2,243,100,815.12","$2,243,100,815.12",Currency,2024-07-31,0.15%,N/A,$0.00,2021-03-29,$0.02,0.00%,0.00,1.72,1,100.00%,40%,40%,1099,$28.40,$35.36,$34.03,$34.79,57.76,A-,N/A,N/A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITB,Bitwise Bitcoin ETF Trust,Currency,"$3,045,850,000",-11.21%,"3,456,836",$42.23,-1.42%,No,False,3.15%,10.75%,-17.02%,N/A,N/A,"$10,356,320.00","$38,215,450.00","$23,701,870.00","$45,910,270.00","$2,095,153,920.00","$2,095,153,920.00",Currency,2024-01-11,0.20%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.51,1,100.00%,40%,40%,1099,$34.86,$43.40,$41.78,$42.71,57.82,A-,N/A,N/A,B+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ARKB,ARK 21Shares Bitcoin ETF,Currency,"$2,898,530,000",-11.17%,"5,833,106",$25.80,-1.41%,No,False,3.10%,10.80%,-17.05%,N/A,N/A,"-$159,583,490.00","$90,496,605.00","$115,183,355.00","-$1,317,097,694.48","$1,548,119,120.52","$1,548,119,120.52",Currency,2024-01-10,0.21%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.52,1,100.00%,40%,40%,1099,$21.30,$26.52,$25.52,$26.09,57.74,A,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETH,Grayscale Ethereum Staking Mini ETF,Currency,"$2,152,620,000",-21.74%,"7,360,186",$21.96,-3.51%,No,False,-1.96%,8.71%,30.25%,N/A,N/A,"$370,913,500.00","$8,051,000.00","$51,327,700.00","$1,320,455,000.00","$1,890,643,803.86","$1,890,643,803.86",Currency,2024-07-23,0.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.59,1,100.00%,40%,40%,1099,$18.52,$23.51,$21.67,$22.25,52.74,A,N/A,N/A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETHE,Grayscale Ethereum Staking ETF,Currency,"$1,978,750,000",-22.90%,"5,076,978",$18.79,-3.54%,No,False,-1.98%,8.18%,26.28%,27.53%,-5.04%,"-$165,488,000.00","-$33,732,900.00","-$51,160,600.00","-$944,573,900.00","-$5,214,896,600.00","-$5,214,896,600.00",Currency,2024-07-23,2.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.58,1,100.00%,40%,40%,1099,$15.91,$20.10,$18.55,$19.04,52.44,A,N/A,A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITO,ProShares Bitcoin ETF,Currency,"$1,965,570,000",-11.92%,"101,852,816",$10.68,-1.29%,No,False,3.19%,10.49%,-20.43%,32.65%,N/A,"$122,266,278.00","-$28,873,431.00","-$24,908,125.00","$1,243,003,922.00","$2,256,484,912.00","$4,143,246,846.91",Currency,2021-10-19,0.95%,N/A,$7.53,2026-04-01,$0.01,70.52%,0.00,1.84,2,100.00%,40%,20%,1099,$8.82,$10.96,$10.56,$10.80,57.77,A,N/A,A,B,A+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FETH,Fidelity Ethereum Fund ETF,Currency,"$1,454,560,000",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"-$294,072,147.62","$82,972,618.75","$22,656,330.77","$963,770,841.37","$2,324,017,011.24","$2,324,017,011.24",Currency,2024-07-23,0.25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100.00%,40%,40%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HODL,VanEck Bitcoin ETF,Currency,"$1,337,500,000",-11.10%,"2,358,928",$21.99,-1.43%,No,False,3.12%,10.81%,-16.98%,N/A,N/A,"$76,648,260.00","$6,561,060.00","-$4,884,015.00","$315,429,047.00","$1,240,399,294.25","$1,240,399,294.25",Currency,2024-01-11,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.50,1,100.00%,40%,40%,1099,$18.15,$22.60,$21.76,$22.23,57.74,A-,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITX,2x Bitcoin Strategy ETF,Currency,"$1,320,320,000",-30.80%,"13,332,333",$19.12,-2.94%,No,2x,5.77%,20.18%,-51.26%,N/A,N/A,"$276,309,883.00","$38,391,383.00","$83,278,983.00","-$31,721,214.00","$1,844,976,681.00","$1,844,976,681.00",Leveraged Currency,2023-06-27,2.38%,N/A,$4.88,2026-04-22,$0.02,25.50%,0.00,3.44,2,100.00%,40%,20%,1099,$13.13,$20.07,$18.69,$19.57,55.80,A,C,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BTCI,NEOS Bitcoin High Income ETF,Currency,"$1,159,470,000",-10.59%,"639,943",$35.96,-0.80%,No,False,2.63%,9.94%,-12.73%,N/A,N/A,"$348,358,534.00","$35,056,270.00","$70,157,764.00","$1,431,846,213.00","$1,602,024,162.00","$1,602,024,162.00",Currency,2024-10-17,0.99%,N/A,$13.84,2026-04-22,$0.80,38.48%,0.00,1.58,5,100.00%,40%,20%,1099,$30.56,$36.89,$35.67,$36.24,58.60,B+,N/A,N/A,A-,A,N/A,5.78,43.03%,26.45%,1.23,0.00%,0.00%
ETHU,2x Ether ETF,Currency,"$1,150,480,000",-51.18%,"7,563,176",$26.69,-7.20%,No,2x,-4.85%,14.01%,-17.40%,N/A,N/A,"$212,960,422.00","$11,198,535.00","$4,409,849.00","$1,726,471,255.00","$3,316,306,146.16","$3,316,306,146.16",Leveraged Currency,2024-06-04,2.67%,N/A,$0.29,2026-03-18,$0.02,1.08%,0.00,7.54,1,100.00%,40%,20%,1099,$19.31,$30.43,$25.95,$27.43,49.90,N/A,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
