Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
IBIT,iShares Bitcoin Trust ETF,Currency,"$59,732,200,000",-13.94%,"65,067,724",$42.73,0.40%,No,False,4.45%,5.85%,-10.90%,N/A,N/A,"$2,075,553,959.68","$947,300,074.44","$926,575,120.60","$24,624,708,463.64","$64,267,308,991.76","$64,267,308,991.76",Currency,2024-01-05,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.52,1,100.00%,40%,40%,1099,$36.94,$42.82,$41.91,$43.16,56.13,A+,N/A,N/A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FBTC,Fidelity Wise Origin Bitcoin Fund,Currency,"$13,949,300,000",-13.91%,"6,346,087",$65.63,0.41%,No,False,4.46%,5.89%,-10.90%,N/A,N/A,"-$1,300,588,417.01","-$99,925,280.66","-$94,054,614.33","-$488,431,323.47","$11,014,751,320.99","$11,014,751,320.99",Currency,2024-01-10,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.51,1,100.00%,40%,40%,1099,$56.77,$65.78,$64.35,$66.30,56.12,A,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GBTC,Grayscale Bitcoin Trust ETF,Currency,"$11,467,000,000",-14.22%,"4,402,932",$58.64,0.46%,No,False,4.51%,5.71%,-11.98%,49.84%,2.20%,"-$952,454,200.00","-$61,602,300.00","-$184,265,300.00","-$3,355,909,500.00","-$26,042,745,300.00","-$26,042,745,300.00",Currency,2024-01-11,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.24,1,100.00%,40%,40%,1099,$50.76,$58.77,$57.50,$59.23,56.00,A-,N/A,A+,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETHA,iShares Ethereum Trust ETF,Currency,"$7,323,100,000",-20.55%,"42,928,476",$17.82,-0.83%,No,False,6.26%,12.15%,48.38%,N/A,N/A,"-$820,210,097.60","$182,562,325.68","-$276,573,409.72","$7,714,962,207.76","$11,769,301,613.88","$11,769,301,613.88",Currency,2024-06-24,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.59,1,100.00%,40%,40%,1099,$14.81,$17.86,$17.44,$18.03,55.95,A,N/A,N/A,C,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BTC,Grayscale Bitcoin Mini Trust ETF,Currency,"$3,910,110,000",-13.87%,"4,726,515",$33.36,0.45%,No,False,4.51%,5.90%,-10.75%,N/A,N/A,"$263,446,600.00","$2,967,400.00","$30,012,700.00","$1,049,735,000.00","$2,197,318,315.12","$2,197,318,315.12",Currency,2024-07-31,0.15%,N/A,$0.00,2021-03-29,$0.02,0.00%,0.00,1.72,1,100.00%,40%,40%,1099,$28.84,$33.42,$32.71,$33.70,56.18,A-,N/A,N/A,B,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITB,Bitwise Bitcoin ETF Trust,Currency,"$2,849,970,000",-13.92%,"3,519,710",$40.94,0.44%,No,False,4.49%,5.87%,-10.84%,N/A,N/A,"-$27,859,130.00","$37,103,300.00","-$48,291,370.00","$142,300,860.00","$2,056,938,470.00","$2,056,938,470.00",Currency,2024-01-11,0.20%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.51,1,100.00%,40%,40%,1099,$35.40,$41.02,$40.13,$41.36,56.16,A-,N/A,N/A,B+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ARKB,ARK 21Shares Bitcoin ETF,Currency,"$2,665,610,000",-13.84%,"6,049,298",$25.02,0.44%,No,False,4.47%,5.93%,-10.80%,N/A,N/A,"-$250,080,095.00","$16,422,610.00","-$4,713,465.00","-$1,137,620,399.48","$1,457,622,515.52","$1,457,622,515.52",Currency,2024-01-10,0.21%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.52,1,100.00%,40%,40%,1099,$21.63,$25.07,$24.54,$25.26,56.15,A,N/A,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETH,Grayscale Ethereum Staking Mini ETF,Currency,"$2,108,600,000",-20.17%,"7,846,337",$22.40,-0.67%,No,False,6.46%,12.45%,49.73%,N/A,N/A,"$362,862,500.00","$42,895,100.00","$24,734,900.00","$1,314,649,500.00","$1,882,592,803.86","$1,882,592,803.86",Currency,2024-07-23,0.00%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.59,1,100.00%,40%,40%,1099,$18.58,$22.43,$21.91,$22.65,56.20,A,N/A,N/A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ETHE,Grayscale Ethereum Staking ETF,Currency,"$2,016,240,000",-21.34%,"5,383,674",$19.17,-0.67%,No,False,6.44%,12.04%,45.23%,20.63%,-4.90%,"-$131,755,100.00","-$900,500.00","-$21,404,200.00","-$944,451,400.00","-$5,181,163,700.00","-$5,181,163,700.00",Currency,2024-07-23,2.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.58,1,100.00%,40%,40%,1099,$15.97,$19.21,$18.76,$19.38,55.79,A,N/A,A,C+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BITO,ProShares Bitcoin ETF,Currency,"$1,926,860,000",-14.64%,"98,290,832",$10.35,0.49%,No,False,4.55%,5.65%,-14.53%,26.54%,N/A,"$151,139,709.00","-$28,667,279.00","$28,726,650.00","$1,305,337,896.00","$2,261,956,698.00","$4,172,120,277.91",Currency,2021-10-19,0.95%,N/A,$7.53,2026-04-01,$0.01,72.77%,0.00,1.84,2,100.00%,40%,20%,1099,$8.96,$10.37,$10.15,$10.46,55.93,A,N/A,A,B,A+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
