Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate ETF,Real Estate,"$36,326,600,000",8.68%,"4,163,307",$95.16,0.92%,No,False,2.57%,4.36%,15.64%,9.78%,3.72%,"$214,457,102.45","$25,898,050.41","-$105,054,514.20","$561,675,330.78","-$422,147,397.56","$904,594,048.98",Real Estate,2004-09-23,0.13%,2 Platforms,$3.49,2026-03-24,$0.95,3.66%,34.20,1.02,148,48.72%,40%,20%,1099,$85.64,$95.18,$94.62,$95.46,66.01,A,N/A,B-,B,B+,A,6.46,69.46%,45.42%,75.2,2.77%,19.40%
SCHH,Schwab US REIT ETF,Real Estate,"$9,722,860,000",11.07%,"10,140,035",$23.08,0.87%,No,False,2.35%,4.33%,16.81%,10.08%,4.37%,"$121,927,500.00","-$34,399,000.00","-$28,177,000.00","$1,521,833,000.00","$2,684,172,000.00","$3,545,034,500.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$0.65,2026-03-25,$0.12,2.82%,31.79,0.98,120,49.92%,40%,20%,1099,$20.72,$23.12,$22.96,$23.14,66.93,A+,N/A,B+,B+,B-,A-,6.34,55.69%,40.37%,77.02,3.28%,20.43%
XLRE,State Street Real Estate Select Sector SPDR ETF,Real Estate,"$7,782,550,000",9.30%,"9,046,394",$43.81,0.92%,No,False,2.53%,4.38%,13.84%,9.89%,4.56%,"-$148,987,869.95","-$40,533,549.05","-$166,440,799.30","$221,837,182.95","$2,347,038,450.10","$5,004,230,861.90",Real Estate,2015-10-07,0.08%,N/A,$1.40,2026-03-23,$0.27,3.19%,36.25,1.02,33,59.03%,40%,20%,1099,$39.31,$43.88,$43.58,$43.94,65.87,A,N/A,A-,B,B,C+,7.01,97.60%,68.66%,82.58,3.26%,20.58%
REET,iShares Global REIT ETF,Real Estate,"$4,734,010,000",8.98%,"2,110,981",$27.06,0.59%,No,False,2.66%,5.15%,20.32%,9.98%,3.63%,"$116,536,774.00",$0.00,"-$10,735,421.60","$454,924,482.35","$1,104,791,542.35","$1,538,823,407.35",Global Real Estate,2014-07-08,0.14%,N/A,$0.92,2026-03-17,$0.13,3.40%,27.53,0.96,331,40.88%,40%,20%,1099,$24.30,$27.11,$26.96,$27.15,65.80,A+,N/A,A+,B,B+,N/A,6.19,16.32%,35.82%,81.74,2.54%,28.27%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,035,850,000",8.26%,"8,190,124",$101.36,0.89%,No,False,2.49%,4.25%,14.54%,9.64%,3.68%,"-$572,081,422.10","-$318,884,614.65","-$333,818,581.45","$804,022,681.25","$467,874,055.20","-$2,245,210,328.95",Real Estate,2000-06-12,0.38%,Fidelity,$2.25,2026-03-17,$0.28,2.22%,35.72,1.02,63,51.60%,40%,20%,1099,$91.15,$101.46,$100.88,$101.65,65.78,A,N/A,B-,B+,C+,A-,6.53,74.85%,47.81%,71.68,3.43%,18.75%
USRT,iShares Core U.S. REIT ETF,Real Estate,"$3,684,800,000",11.86%,"470,789",$63.50,0.78%,No,False,2.55%,4.51%,20.69%,12.35%,6.09%,"$36,883,223.95","$12,210,167.10","$14,844,519.65","$461,753,154.95","$1,175,820,670.20","$1,324,486,979.55",Real Estate,2007-05-01,0.08%,N/A,$1.71,2026-03-17,$0.21,2.69%,36.59,1.00,129,48.98%,40%,20%,1099,$57.19,$63.55,$63.22,$63.69,67.37,A-,N/A,B+,B-,B-,A,5.89,23.35%,29.01%,82.65,3.80%,20.98%
VNQI,Vanguard Global ex-U.S. Real Estate ETF,Real Estate,"$3,594,080,000",3.82%,"413,150",$47.59,0.04%,No,False,2.26%,5.17%,14.98%,7.66%,-0.65%,"-$56,372,512.21","$69,559.13","-$50,434,909.87","-$10,574,798.94","-$544,085,299.44","-$482,026,504.28",Global Real Estate,2010-11-01,0.12%,Vanguard,$0.00,2024-12-20,$2.04,0.00%,14.20,0.74,707,24.63%,40%,20%,1099,$42.73,$48.02,$47.44,$47.72,56.39,A,N/A,C+,A+,A,A+,6.74,81.01%,56.76%,70.05,1.04%,30.85%
ICF,iShares Select U.S. REIT ETF,Real Estate,"$2,063,330,000",11.77%,"148,623",$66.50,0.93%,No,False,2.23%,4.24%,16.58%,10.11%,4.56%,"-$41,834,126.20","-$13,191,218.15","-$19,460,219.00","-$36,288,933.70","-$562,134,254.50","-$206,445,122.95",Real Estate,2001-01-29,0.32%,N/A,$1.65,2026-03-17,$0.19,2.49%,37.92,0.99,31,60.22%,40%,20%,1099,$59.53,$66.77,$66.10,$66.70,66.49,B+,N/A,A-,B,B-,B-,6.8,94.61%,59.47%,83.0,3.35%,21.01%
RWR,State Street SPDR Dow Jones REIT ETF,Real Estate,"$1,783,070,000",10.73%,"374,097",$108.10,0.67%,No,False,2.47%,4.33%,20.72%,12.06%,5.57%,"-$72,114,565.80","-$15,816,742.65","-$8,100,346.70","-$241,681,921.99","$90,057,371.30","$149,426,155.50",Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.73,2026-03-23,$0.62,3.45%,0.00,1.02,102,51.85%,40%,20%,1099,$97.58,$108.17,$107.63,$108.46,66.19,A-,N/A,B,B-,B+,A-,5.72,14.37%,25.14%,76.75,0.00%,20.55%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$1,425,840,000",8.33%,"319,931",$28.87,0.84%,No,False,2.52%,4.22%,15.25%,9.65%,3.63%,"$263,744,680.00","-$2,860,450.00","-$1,609,570.00","$307,939,235.00","$154,545,900.00","$115,294,905.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.96,2026-03-20,$0.25,3.32%,31.69,1.02,129,47.29%,40%,20%,1099,$26.00,$28.89,$28.74,$28.95,65.66,A-,N/A,B-,B,B+,A+,6.45,65.87%,44.93%,71.31,2.93%,18.74%
