Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SVOL,Simplify Volatility Premium ETF,Volatility,"$591,437,000",-4.03%,"480,271",$15.99,0.00%,Yes,Variable,0.88%,2.54%,26.71%,6.89%,N/A,"$14,980,975.00","-$13,146,750.00","-$704,200.00","-$334,728,575.00","$703,887,250.00","$936,299,675.00",Inverse Volatility,2021-05-12,0.50%,N/A,$3.55,2026-03-26,$0.28,22.20%,0.00,0.66,18,93.30%,40%,20%,1099,$15.12,$16.09,$15.92,$16.05,53.22,B+,A+,N/A,N/A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UVIX,2x Long VIX Futures ETF,Volatility,"$478,025,000",1.40%,"56,960,760",$5.79,-0.17%,No,2x,-7.36%,-34.65%,-90.20%,-83.49%,N/A,"$85,282,636.00","$120,900,781.00","$167,984,538.00","$1,072,013,968.00","$1,181,696,250.97","$1,453,535,425.97",Leveraged Volatility,2022-03-28,2.19%,N/A,$0.00,N/A,N/A,0.00%,0.00,-3.88,1,100.00%,28%,28%,k-1,$5.01,$10.82,$5.63,$6.00,42.95,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Volatility,"$389,649,000",8.13%,"8,650,671",$38.85,-0.26%,No,1.5x,-5.54%,-25.70%,-78.98%,-66.09%,-67.92%,"-$30,958,815.76","$107,127,722.79","$112,880,622.74","$901,087,746.19","$1,243,698,941.77","$2,332,892,585.63",Leveraged Volatility,2011-10-03,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,-3.37,1,100.00%,28%,28%,K-1,$35.55,$61.55,$38.04,$39.89,43.47,A,B,C,C,N/A,B+,0.0,N/A,N/A,N/A,N/A,N/A
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Volatility,"$368,213,000",10.69%,"12,872,327",$29.30,-0.10%,No,False,-3.59%,-16.52%,-60.06%,-43.50%,-46.00%,"-$264,213,035.28",$0.00,"-$126,348,284.57","$481,572,026.51","$667,901,060.03","$729,412,262.23",Volatility,2018-01-19,0.89%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.99,1,100.00%,40%,20%,1099,$27.89,$39.56,$28.90,$29.84,43.95,A+,B-,B-,B,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SVIX,-1x Short VIX Futures ETF,Volatility,"$268,280,000",-22.66%,"6,946,531",$18.74,0.05%,Yes,-1x,3.65%,12.76%,69.29%,1.15%,N/A,"$80,445,182.00","-$44,878,217.00","-$40,351,425.00","-$685,523,623.00","$127,608,725.00","$170,148,828.00",Inverse Volatility,2022-03-28,1.47%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.47,2,100.00%,28%,28%,K-1,$14.13,$19.29,$18.39,$18.99,52.38,N/A,C,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SVXY,ProShares Short VIX Short-Term Futures ETF,Volatility,"$211,282,000",-9.52%,"2,883,753",$50.11,-0.02%,Yes,-0.5x,1.64%,7.35%,42.48%,14.34%,14.79%,"-$13,557,804.15","$4,990,249.07","$7,333,345.60","-$488,552,346.07","-$184,129,942.14","-$600,229,151.96",Inverse Volatility,2011-10-03,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.34,1,100.00%,28%,28%,K-1,$43.30,$50.96,$49.67,$50.46,53.59,A-,B,A,B-,N/A,A-,0.0,N/A,N/A,N/A,N/A,N/A
VIXY,ProShares VIX Short-Term Futures ETF,Volatility,"$199,610,000",10.34%,"4,916,073",$28.29,-0.14%,No,False,-3.78%,-16.50%,-60.74%,-44.29%,-46.63%,"-$77,685,931.47","$29,813,795.42","$15,134,831.09","$232,882,562.22","$243,286,442.16","$477,531,332.50",Volatility,2011-01-03,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,-2.36,1,100.00%,28%,28%,K-1,$26.92,$38.27,$27.91,$28.81,44.03,A,B+,B,B,N/A,A,0.0,N/A,N/A,N/A,N/A,N/A
VIXM,ProShares VIX Mid-Term Futures ETF,Volatility,"$58,552,100",3.01%,"363,469",$15.73,-0.25%,No,False,-1.56%,-7.09%,-16.95%,-15.79%,-14.06%,"$10,076,734.62","-$2,750,176.79","-$7,801,127.98","$38,680,535.60","$22,403,460.55","$19,672,329.12",Volatility,2011-01-03,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,-0.98,1,100.00%,28%,28%,K-1,$15.45,$17.75,$15.64,$15.84,43.39,A-,A-,B+,A-,N/A,A+,0.0,N/A,N/A,N/A,N/A,N/A
XXV,Simplify Ancorato Target 25 Distribution ETF,Volatility,"$51,612,800",-2.63%,270,$37.00,1.54%,Yes,False,1.54%,N/A,-2.66%,-1.10%,-0.70%,"$32,068,000.00",$0.00,"-$1,134,500.00","$54,754,750.00","$54,754,750.00","$54,754,750.00",Inverse Volatility,2025-11-17,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.04,1,100.00%,40%,20%,1099,$36.34,$38.83,$37.00,$37.00,41.88,C,B+,A-,A+,N/A,N/A,4.47,1.86%,9.86%,1.27,0.00%,0.00%
VMAX,Hartford US Value ETF,Volatility,"$45,144,100",8.29%,"2,044",$58.55,0.43%,No,False,0.37%,6.13%,35.60%,N/A,N/A,"-$5,586,820.00",$0.00,"-$5,613,010.00","-$11,630,265.00","$37,914,371.48","$37,914,371.48",Volatility,2023-12-06,0.29%,N/A,$1.16,2026-03-25,$0.25,1.97%,14.60,0.85,142,19.38%,40%,20%,1099,$54.27,$59.16,$58.55,$58.55,63.61,N/A,B+,N/A,N/A,N/A,N/A,6.44,50.78%,44.65%,208.0,8.98%,3.21%
