Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate ETF,Real Estate,"$36,367,100,000",9.06%,"4,012,817",$95.49,1.03%,No,False,0.35%,8.74%,14.33%,9.38%,3.51%,"$198,974,309.01","-$15,482,793.44","-$122,321,070.02","$605,132,238.34","-$430,086,141.00","$945,524,022.96",Real Estate,2004-09-23,0.13%,2 Platforms,$3.49,2026-03-24,$0.95,3.65%,34.20,1.02,148,48.72%,40%,20%,1099,$86.09,$98.22,N/A,N/A,61.37,A,N/A,B-,B,B+,A,6.46,69.46%,45.42%,75.2,2.77%,19.40%
SCHH,Schwab US REIT ETF,Real Estate,"$9,670,790,000",11.40%,"9,735,532",$23.15,1.40%,No,False,0.30%,9.00%,15.74%,9.61%,4.10%,"$107,963,000.00","-$13,964,500.00","-$11,137,000.00","$1,241,383,500.00","$2,679,878,000.00","$3,520,160,000.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$0.65,2026-03-25,$0.12,2.81%,31.79,0.98,120,49.92%,40%,20%,1099,$20.88,$23.81,N/A,N/A,61.68,A+,N/A,B+,B+,B-,A-,6.34,55.69%,40.37%,77.02,3.28%,20.43%
XLRE,State Street Real Estate Select Sector SPDR ETF,Real Estate,"$7,736,700,000",9.67%,"8,638,343",$43.96,1.15%,No,False,0.34%,9.02%,12.39%,9.44%,4.30%,"-$153,674,804.55","-$4,686,934.60","$114,844,488.95","$179,203,826.95","$2,327,605,791.00","$4,886,470,597.85",Real Estate,2015-10-07,0.08%,N/A,$1.40,2026-03-23,$0.27,3.18%,36.25,1.02,33,59.03%,40%,20%,1099,$39.63,$45.22,N/A,N/A,61.34,A,N/A,A-,B,B,C+,7.01,97.60%,68.66%,82.58,3.26%,20.58%
REET,iShares Global REIT ETF,Real Estate,"$4,729,620,000",9.10%,"2,179,108",$27.09,0.89%,No,False,0.11%,8.53%,18.33%,9.38%,3.48%,"$116,536,774.00",$0.00,$0.00,"$454,924,482.35","$1,124,268,527.35","$1,521,397,687.35",Global Real Estate,2014-07-08,0.14%,N/A,$0.92,2026-03-17,$0.13,3.39%,27.53,0.96,330,40.88%,40%,20%,1099,$24.45,$27.92,N/A,N/A,61.25,A+,N/A,A+,B,B+,N/A,6.19,16.32%,35.82%,81.74,2.54%,28.27%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$4,100,210,000",8.58%,"7,956,987",$101.66,1.02%,No,False,0.30%,8.79%,13.12%,9.15%,3.43%,"-$735,795,832.25","-$163,714,410.15","-$371,399,962.35","$473,553,839.95","$660,910,227.70","-$2,225,380,844.10",Real Estate,2000-06-12,0.38%,Fidelity,$2.25,2026-03-17,$0.28,2.21%,35.72,1.02,63,51.60%,40%,20%,1099,$91.76,$104.59,N/A,N/A,61.20,A,N/A,B-,B+,C+,A-,6.53,74.85%,47.81%,71.68,3.43%,18.75%
USRT,iShares Core U.S. REIT ETF,Real Estate,"$3,676,620,000",12.41%,"445,721",$63.81,1.24%,No,False,0.49%,9.06%,19.27%,11.68%,5.87%,"$30,433,177.65","-$6,450,046.30","-$9,140,752.40","$452,558,569.25","$1,176,776,384.05","$1,265,234,598.25",Real Estate,2007-05-01,0.08%,N/A,$1.71,2026-03-17,$0.21,2.68%,36.59,1.00,129,48.98%,40%,20%,1099,$57.51,$65.56,N/A,N/A,62.34,A-,N/A,B+,B-,B-,A,5.89,23.35%,29.01%,82.65,3.80%,20.98%
VNQI,Vanguard Global ex-U.S. Real Estate ETF,Real Estate,"$3,575,180,000",2.73%,"404,795",$47.09,-0.30%,No,False,-1.05%,6.39%,11.19%,7.38%,-0.76%,"-$56,368,043.99","$4,468.22","-$32,662,972.91","-$10,793,413.56","-$535,774,831.22","-$482,150,755.01",Global Real Estate,2010-11-01,0.12%,Vanguard,$0.00,2024-12-20,$2.04,0.00%,14.20,0.74,706,24.63%,40%,20%,1099,$42.98,$49.14,$46.71,$47.41,52.12,A,N/A,C+,A+,A,A+,6.74,81.01%,56.76%,70.05,1.04%,30.85%
ICF,iShares Select U.S. REIT ETF,Real Estate,"$2,060,340,000",12.51%,"150,459",$66.94,1.39%,No,False,0.66%,9.38%,15.50%,9.72%,4.33%,"-$48,614,793.50","-$6,780,667.30","-$23,192,311.00","-$43,069,601.00","-$557,876,434.05","-$216,263,840.25",Real Estate,2001-01-29,0.32%,N/A,$1.65,2026-03-17,$0.19,2.47%,37.92,0.99,31,60.22%,40%,20%,1099,$60.10,$68.78,N/A,N/A,62.63,B+,N/A,A-,B,B-,B-,6.8,94.61%,59.47%,83.0,3.35%,21.01%
RWR,State Street SPDR Dow Jones REIT ETF,Real Estate,"$1,758,890,000",11.12%,"371,475",$108.48,1.36%,No,False,0.35%,8.89%,19.03%,11.32%,5.30%,"-$77,602,585.80","-$5,488,020.00","-$36,379,676.02","-$232,994,574.14","$106,683,621.38","$28,747,604.65",Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.73,2026-03-23,$0.62,3.44%,0.00,1.02,102,51.85%,40%,20%,1099,$98.20,$111.44,N/A,N/A,61.16,A-,N/A,B,B-,B+,A-,5.72,14.37%,25.14%,76.75,0.00%,20.55%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$1,423,760,000",8.67%,"317,035",$28.96,0.94%,No,False,0.31%,8.63%,13.94%,9.23%,3.37%,"$259,411,630.00","-$4,333,050.00","-$7,331,430.00","$307,473,470.00","$172,499,950.00","$102,264,830.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.96,2026-03-20,$0.25,3.31%,31.69,1.02,129,47.29%,40%,20%,1099,$26.14,$29.81,N/A,N/A,61.02,A-,N/A,B-,B,B+,A+,6.45,65.87%,44.93%,71.31,2.93%,18.74%
